iter	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false
0	1.542141162	0.7379673985	0.7491683468
1	1.503186267	0.7383820324	0.7404737903
2	1.45535399	0.7702273914	0.7784274194
3	1.397845301	0.7780053569	0.7946824597
4	1.350130458	0.7786088121	0.7952872984
5	1.308491279	0.7818705794	0.7992439516	6	1.267351264	0.781000195	0.798639112977	1.233037541	0.7817035715	0.799193548488	1.198109745	0.7818331939	0.799042338799	1.169162455	0.7822764897	0.7995211694110	1.138125534	0.7825217174	0.799672379
11	1.110426533	0.7801775056	0.7985635081112	1.08730141	0.7802480617	0.7986391129113	1.061972764	0.7800553194	0.7986139111414	1.037943178	0.7820156738	0.7995211615	15	1.015350619	0.7822685945	0.7997731816	16	0.9941521551	0.7818085794	0.799823517	017	0.9741441752	0.7812274459	0.79957118	0.18	0.9545849811	0.7785123	0.7983870961919	0.9362591834	0.778326647	0.7982358871220	0.9191882431	0.7789891495	0.7986895161221	0.9022274507	0.7810977602	0.7997227823222	0.887077409	0.7809158148	0.7995967742
23	0.8724785963	0.7784687694	0.7984879032224	0.8604587244	0.778537761	0.7985383065225	0.8469899349	0.7789940646	0.7986643145226	0.8327859794	0.7791023247	0.7982358871227	0.8205119847	0.779386647	0.7984879032228	0.8076732534	0.7814546189	0.7996471774229	0.7966502765	0.7821736273	0.7996471774330	0.786160544	0.7833731363	0.8005040323
31	0.7750451254	0.7823756248	0.7998235887
32	0.7651591985	0.7826320927	0.7999243952333	0.755241154	0.782857792	0.7999747984
34	0.745294314	0.7838162452	0.8007308468
35	0.7358505397	0.7841537101	0.80078125
36	0.7278772396	0.7840031662	0.8006552419
37	0.7192824239	0.7841932668	0.8008316532
38	0.711800497	0.7841933581	0.8008064516
39	0.7040886498	0.784181309	0.8007056452
40	0.6964615579	0.7844460847	0.8009324597
41	0.6889848638	0.7845979975	0.8010332661
42	0.6815310129	0.7851840735	0.8012096774
43	0.6757152565	0.7860738514	0.8017893145
44	0.6694007143	0.7861833692	0.8018649194
45	0.662764584	0.786177543	0.8014112903
46	0.6566540344	0.7864678696	0.8019657258
47	0.6511181881	0.7860880466	0.8017137097
48	0.6455929939	0.7858209225	0.8013356855
49	0.6401668042	0.7861840244	0.8015372984
50	0.6346589856	0.7862229657	0.8013104839
51	0.6291863715	0.7861245354	0.801234879
52	0.6245147208	0.7861261887	0.801234879
53	0.6214943001	0.7862719606	0.8013608871
54	0.6167506101	0.7864217468	0.8014112903
55	0.6125147904	0.7862646307	0.8012852823
56	0.6078914735	0.7862515845	0.8012600806
57	0.6039011401	0.7863377515	0.8013356855
58	0.5997015024	0.7868434184	0.8016633065
59	0.5957638282	0.7868862367	0.8016885081
60	0.592117397	0.7868308344	0.8016885081
61	0.5881265623	0.7878156303	0.8021673387
62	0.5847808258	0.7879297496	0.8022429435
63	0.5811030925	0.7881812506	0.8023689516
64	0.577663592	0.7883569626	0.8022933468
65	0.5745563577	0.788562734	0.8023941532
66	0.5713569076	0.788768907	0.8024193548
