iter	Passed	Remaining
0	423	211483
1	859	213983
2	1248	206833
3	1497	185696
4	1796	177862
5	2086	171816
6	2431	171271
7	2690	165476
8	2958	161426
9	3214	157486
10	3528	156878
11	3774	153503
12	3992	149550
13	4208	146087
14	4589	148390
15	4944	149568
16	5290	150321
17	5591	149723
18	5928	150084
19	6186	148464
20	6474	147688
21	6753	146744
22	6986	144891
23	7229	143382
24	7516	142818
25	7773	141713
26	7981	139826
27	8274	139492
28	8546	138807
29	8795	137793
30	9168	138707
31	9435	137988
32	9791	138563
33	10099	138420
34	10360	137644
35	10671	137541
36	10914	136574
37	11223	136451
38	11494	135870
39	11822	135954
40	12176	136321
41	12476	136053
42	12794	135973
43	13085	135614
44	13430	135800
45	13753	135745
46	14082	135731
47	14372	135343
48	14725	135530
49	15002	135021
50	15360	135235
51	15670	135004
52	15980	134782
53	16223	133991
54	16563	134015
55	16912	134088
56	17188	133586
57	17446	132955
58	17806	133095
59	18093	132688
60	18458	132839
61	18828	133013
62	19145	132801
63	19487	132758
64	19833	132733
65	20153	132526
66	20495	132456
67	20816	132247
68	21057	131530
69	21367	131260
70	21706	131153
71	22061	131146
72	22408	131074
73	22765	131053
74	23086	130824
75	23459	130880
76	23848	131012
77	24163	130728
78	24553	130846
79	24979	131143
80	25296	130853
81	25631	130656
82	26043	130846
83	26446	130975
84	26828	130987
85	27158	130741
86	27365	129907
87	27727	129813
88	28100	129767
89	28456	129635
90	28836	129606
91	29185	129432
92	29520	129191
93	29855	128951
94	30149	128533
95	30503	128367
96	30840	128130
97	31089	127532
98	31425	127288
99	31657	126629
100	31971	126303
101	32333	126165
102	32666	125907
103	33062	125890
104	33456	125860
105	33831	125749
106	34214	125664
107	34524	125311
108	34953	125383
109	35398	125503
110	35816	125518
111	36231	125515
112	36560	125210
113	36999	125279
114	37373	125121
115	37708	124829
116	38150	124885
117	38507	124659
118	38851	124388
119	39175	124057
120	39624	124113
121	40006	123956
122	40449	123978
123	40810	123747
124	41251	123754
125	41484	123137
126	41824	122839
127	42168	122553
128	42538	122340
129	42908	122123
130	43317	122015
131	43715	121872
132	44054	121563
133	44284	120955
134	44599	120584
135	44966	120350
136	45371	120216
137	45740	119986
138	46015	119508
139	46432	119396
140	46801	119162
141	47252	119129
142	47619	118881
143	47990	118643
144	48194	117994
145	48519	117643
146	48888	117398
147	49173	116953
148	49592	116824
149	49953	116558
150	50358	116391
151	50702	116082
152	51057	115796
153	51448	115593
154	51855	115420
155	52228	115170
156	52559	114827
157	52924	114557
158	53294	114298
159	53560	113815
160	53921	113536
161	54311	113316
162	54675	113041
163	54918	112516
164	55225	112124
165	55609	111889
166	55981	111628
167	56330	111319
168	56627	110909
169	56986	110620
170	57401	110439
171	57792	110209
172	58213	110033
173	58482	109570
174	58804	109208
175	59211	109003
176	59546	108663
177	59845	108260
178	60189	107938
179	60588	107712
180	60993	107496
181	61386	107258
182	61773	107006
183	62053	106570
184	62393	106237
185	62641	105749
186	62979	105414
187	63366	105160
188	63750	104901
189	64112	104604
190	64502	104351
191	64784	103925
192	65238	103772
193	65669	103582
194	65992	103219
195	66344	102901
196	66734	102642
197	67105	102352
198	67513	102119
199	67880	101820
200	68262	101544
201	68604	101208
202	68968	100905
