iter	Accuracy	MultiClass
0	0.8467716563	0.6521012491
1	0.8495716862	0.6170248166
2	0.9098770237	0.5684768868
3	0.9267779738	0.5304710435
4	0.9351894339	0.4923376598
5	0.9395162702	0.4597053163
6	0.9395162702	0.4299487917
7	0.9383019408	0.4040611235
8	0.9377422041	0.3813929507
9	0.9377887388	0.360953722
10	0.9377422041	0.3422836788
11	0.9377422041	0.3252150499
12	0.9383269979	0.3095289444
13	0.9381595102	0.2953187671
14	0.9382129041	0.2830084596
15	0.9383453425	0.271630561
16	0.9382580924	0.2609005721
17	0.939452884	0.2515500429
18	0.9381780015	0.2429236788
19	0.9394771946	0.2352150246
20	0.9394771946	0.2273852913
21	0.9394771946	0.2202866838
22	0.9394771946	0.2136776884
23	0.9394771946	0.2080004222
24	0.939452884	0.2028057911
25	0.9389657791	0.1981278937
26	0.939506278	0.1933659695
27	0.9395038916	0.1890696903
28	0.9395696641	0.1860923322
29	0.9395696641	0.1827437601
30	0.939506278	0.1800861484
31	0.9395708573	0.1775239287
32	0.9395696641	0.175187087
33	0.9395453535	0.1724413391
34	0.9398485658	0.1699401724
35	0.9398740696	0.1676378953
36	0.9398740696	0.1654277983
37	0.9398740696	0.1633072474
38	0.9398995733	0.161971645
39	0.9398740696	0.1601526995
40	0.9398740696	0.1588513173
41	0.9397553497	0.1576132387
42	0.9398075505	0.1561997079
43	0.9399250771	0.1552273627
44	0.9399067325	0.1542685686
45	0.9399079257	0.1534272133
46	0.9399019597	0.1520958727
47	0.9398159028	0.151298175
48	0.9397892059	0.1505731026
49	0.9397903991	0.1498001537
50	0.9397720545	0.1491963313
51	0.9398159028	0.1485024798
52	0.9397892059	0.1475991632
53	0.9398936074	0.1470774272
54	0.9401569975	0.1462600367
55	0.9401677363	0.1458378704
56	0.9401179219	0.1455071128
57	0.9402685582	0.1449051583
58	0.9401481985	0.1445404517
59	0.9402442476	0.1441211062
60	0.9401470053	0.1440297493
61	0.9401398461	0.1435903602
62	0.9400971909	0.1432798598
