iter	Passed	Remaining
0	152	611251
1	289	579605
2	421	562103
3	545	545232
4	672	537133
5	770	512612
6	861	491690
7	975	486947
8	1054	467796
9	1144	456661
10	1258	456404
11	1357	451244
12	1452	445424
13	1565	445847
14	1661	441512
15	1741	433695
16	1800	421962
17	1906	421816
18	2008	420864
19	2108	419595
20	2213	419491
21	2302	416386
22	2411	416975
23	2513	416439
24	2608	414745
25	2720	415807
26	2822	415333
27	2919	414113
28	3027	414617
29	3127	413851
30	3212	411353
31	3329	412864
32	3454	415224
33	3605	420562
34	3746	424400
35	3900	429467
36	4051	433958
37	4214	439387
38	4361	442974
39	4540	449558
40	4658	449807
41	4773	449810
42	4934	454105
43	5093	457912
44	5242	460738
45	5374	461955
46	5565	468065
47	5705	469750
48	5845	471303
49	5994	473568
50	6141	475566
51	6291	477696
52	6442	479784
53	6603	482509
54	6735	483154
55	6881	484634
56	7029	486288
57	7170	487369
58	7314	488569
59	7431	487985
60	7589	490112
61	7736	491398
62	7849	490531
63	7989	491323
64	8091	489865
65	8199	488767
66	8318	488331
67	8450	488659
68	8595	489720
69	8715	489328
70	8783	486086
71	8903	485725
72	9025	485522
73	9159	485964
74	9275	485424
75	9441	487465
76	9592	488704
77	9722	488843
78	9794	486142
79	9910	485618
80	10019	484751
81	10152	485091
82	10283	485318
83	10380	483915
84	10540	485495
85	10674	485801
86	10744	483242
87	10841	481953
88	10942	480833
89	11067	480808
90	11204	481309
91	11337	481589
92	11490	482704
93	11585	481427
94	11720	481782
95	11837	481408
96	11972	481754
97	12108	482099
98	12231	481951
99	12380	482858
100	12549	484468
101	12704	485518
102	12864	486738
103	13027	488025
104	13164	488327
105	13296	488457
106	13418	488213
107	13570	489024
108	13695	488898
109	13801	488066
110	13843	485036
111	13942	484017
112	14057	483554
113	14162	482757
114	14303	483196
115	14412	482580
116	14567	483474
117	14688	483238
118	14788	482300
119	14920	482434
120	15017	481436
121	15145	481418
122	15267	481236
123	15374	480586
124	15502	480579
125	15652	481244
126	15788	481499
127	15896	480863
128	15984	479656
129	16125	480033
130	16231	479372
131	16373	479781
132	16509	480019
133	16652	480446
134	16758	479797
135	16883	479689
136	17014	479752
137	17142	479740
138	17291	480291
139	17426	480463
140	17592	481496
141	17741	482024
142	17877	482200
143	18020	482557
